album_id,album_name,num_of_songs,duration,release_date,user_id
1,NJWMX,12,2554692,12/19/2023,1
2,Supernatural,4,702826,6/21/2024,1
3,How Sweet,4,838571,5/24/2024,1
4,NewJeans X MY DEMON,2,384822,11/24/2023,1
5,NewJeans 2nd EP 'Get Up',6,733517,7/21/2023,1
6,NewJeans 'Super Shy',2,263652,7/7/2023,1
7,NewJeans 'OMG',2,397759,1/2/2023,1
8,NewJeans 1st EP 'New Jeans',4,772600,8/1/2022,1
9,Magnetic (Remixes),3,515265,4/19/2024,6
10,SUPER REAL ME (Sped Up),4,440119,4/1/2024,6
11,SUPER REAL ME,4,576276,3/25/2024,6
12,Bewitched: The Goddess Edition,18,3688060,4/26/2024,7
13,Bewitched,14,2907368,9/8/2023,7
14,A Night At The Symphony,14,3056997,3/2/2023,7
15,Everything I Know About Love,16,3174847,10/14/2022,7
16,Bewitched (Rework),2,509569,6/7/2024,7
17,Christmas With You,2,424926,11/10/2023,7
18,A Very Laufey Holiday,4,611825,11/3/2023,7
19,The Reykjavík Sessions,6,1320505,9/22/2022,7
20,Typical of Me EP,7,1260542,4/30/2021,7
21,Charm,11,2287116,7/12/2024,16
22,Sling,12,2673006,7/16/2021,16
23,Immunity,11,2439529,8/2/2019,16
24,Nomad,2,433367,6/28/2024,16
25,Live at Electric Lady,5,1178998,5/12/2023,16
26,diary 001,6,883685,5/25/2018,16
27,SOS,23,3489958,12/9/2022,23
28,Ctrl (Deluxe),21,3976473,6/9/2022,23
29,Dear Evan Hansen (Original Motion Picture Soundtrack),16,4238607,9/24/2021,23
30,Black Panther The Album Music From And Inspired By,14,2958567,2/9/2018,23
31,Ctrl,14,2946077,6/9/2017,23
32,Z,10,2446252,4/8/2014,23
33,Saturn,5,899790,2/22/2024,23
34,Snooze,4,776933,8/25/2023,23
35,Special (feat. SZA),2,349146,2/9/2023,23
36,Kill Bill,4,599366,1/13/2023,23
37,Persuasive (with SZA),2,427053,7/22/2022,23
38,The Anonymous Ones (From The “Dear Evan Hansen” Original Motion Picture Soundtrack),2,533173,9/10/2021,23
39,Quarantunes,8,2028284,11/3/2023,88
40,Three Weeks No Songs,7,1631263,6/5/2020,88
41,A Selection Of Demos,8,1779409,1/30/2014,88
42,"Come, Now",11,2249382,6/4/2012,88
43,Leche,13,2474344,11/15/2010,88
44,Moenie and Kitchi,11,2031490,10/13/2008,88
45,Self-Titled Demo,8,1364652,1/1/2007,88
46,In Your Dreams,13,2500688,1/1/2007,88
47,Texas Collectious,4,860767,10/28/2022,88
48,Stone - EP,6,984884,11/20/2012,88
49,Olly Olly Oxen Free,2,405378,11/1/2010,88
50,Ghost,2,386866,9/29/2008,88
51,The Boats&birds - EP,6,906757,1/1/2006,88
52,homemade,8,1742737,5/14/2022,89
53,minuscule,8,1709554,9/13/2011,89
