genre_id,genre_name
1,k-pop
2,k-pop girl group
3,speedrun
4,video game music
5,hip hop
6,pop rap
7,rap
8,underground hip hop
9,new orleans jazz
10,colombian pop
11,latin pop
12,latin viral pop
13,reggaeton colombiano
14,urbano latino
15,5th gen k-pop
16,gen z singer-songwriter
17,classical
18,classical performance
19,orchestral performance
20,nordic orchestra
21,orchestra
22,classical piano
23,nordic classical piano
24,contemporary vocal jazz
25,jazz pop
26,neo mellow
27,vocal jazz
28,alt z
29,indie pop
30,pov: indie
31,bedroom pop
32,bubblegrunge
33,singer-songwriter pop
34,modern indie folk
35,new jersey indie
36,alternative dance
37,indie rock
38,modern rock
39,new rave
40,rock independant francais
41,shimmer pop
42,channel islands indie
43,escape room
44,hyperpop
45,indie soul
46,vapor soul
47,dream pop
48,electropop
49,uk dance
50,irish hip hop
51,proto-hyperpop
52,pop
53,r&b
54,la indie
55,slap house
56,conscious hip hop
57,west coast rap
58,tennessee hip hop
59,show tunes
60,movie tunes
61,uk pop
62,classic oklahoma country
63,contemporary country
64,country
65,country dawn
66,dance pop
67,country road
68,post-teen pop
69,gangster rap
70,southern hip hop
71,trap
72,atl hip hop
73,south african hip hop
74,pop r&b
75,melodic rap
76,spiritual hip hop
77,uk contemporary r&b
78,cali rap
79,neo soul
80,art pop
81,indietronica
82,uk alternative pop
83,afro soul
84,gqom
85,south african pop
86,sacramento hip hop
87,indie hip hop
88,canadian contemporary r&b
89,canadian pop
90,chicago rap
91,modern indie pop
92,canadian hip hop
93,minnesota hip hop
94,trap queen
95,miami hip hop
96,alternative r&b
97,trap soul
98,reggaeton
99,trap latino
100,dutch house
101,edm
102,electro house
103,future house
104,house
105,pop dance
106,progressive electro house
107,progressive house
108,funktronica
109,folk-pop
110,japanese indie folk
